"Origin","Destination","Airline","Flight_No","Price","Duration"
"ATL (Atlanta)","Plano","Delta","TX5368","$214.23","3.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5369","$456.17","4.6h"
"JFK (New York)","Lubbock","Southwest","TX5370","$479.83","3.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX5371","$506.16","4.1h"
"ORD (Chicago)","Irving","United","TX5372","$258.44","4.1h"
"ATL (Atlanta)","Amarillo","Delta","TX5373","$395.23","4.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5374","$646.69","2.7h"
"JFK (New York)","Brownsville","Southwest","TX5375","$537.01","4.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5376","$271.58","4.2h"
"ORD (Chicago)","Frisco","United","TX5377","$362.94","2.9h"
"ATL (Atlanta)","Pasadena","Delta","TX5378","$170.35","2.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5379","$398.86","4.7h"
"JFK (New York)","Austin","Southwest","TX5380","$554.00","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX5381","$604.17","4.9h"
"ORD (Chicago)","Dallas","United","TX5382","$597.57","4.0h"
"ATL (Atlanta)","San Antonio","Delta","TX5383","$164.38","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5384","$509.70","2.5h"
"JFK (New York)","El Paso","Southwest","TX5385","$462.56","2.3h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5386","$212.23","4.2h"
"ORD (Chicago)","Corpus Christi","United","TX5387","$219.37","2.1h"
"ATL (Atlanta)","Plano","Delta","TX5388","$452.48","3.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX5389","$533.82","3.8h"
"JFK (New York)","Lubbock","Southwest","TX5390","$193.71","3.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX5391","$342.36","4.6h"
"ORD (Chicago)","Irving","United","TX5392","$337.84","2.9h"
"ATL (Atlanta)","Amarillo","Delta","TX5393","$291.12","4.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5394","$205.61","2.6h"
"JFK (New York)","Brownsville","Southwest","TX5395","$595.80","3.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5396","$586.97","2.3h"
"ORD (Chicago)","Frisco","United","TX5397","$275.22","2.4h"
"ATL (Atlanta)","Pasadena","Delta","TX5398","$524.81","2.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5399","$538.11","4.1h"
"JFK (New York)","Austin","Southwest","TX5400","$154.34","2.5h"
"LAX (Los Angeles)","Houston","American Airlines","TX5401","$244.82","2.5h"
"ORD (Chicago)","Dallas","United","TX5402","$294.56","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX5403","$324.25","3.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5404","$160.09","4.0h"
"JFK (New York)","El Paso","Southwest","TX5405","$151.17","3.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5406","$572.90","2.1h"
"ORD (Chicago)","Corpus Christi","United","TX5407","$393.64","2.2h"
"ATL (Atlanta)","Plano","Delta","TX5408","$283.75","4.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX5409","$636.09","4.4h"
"JFK (New York)","Lubbock","Southwest","TX5410","$243.65","4.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX5411","$570.20","2.7h"
"ORD (Chicago)","Irving","United","TX5412","$266.70","2.3h"
"ATL (Atlanta)","Amarillo","Delta","TX5413","$433.99","3.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5414","$347.29","4.9h"
"JFK (New York)","Brownsville","Southwest","TX5415","$298.81","3.1h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5416","$415.88","2.3h"
"ORD (Chicago)","Frisco","United","TX5417","$316.64","4.1h"
"ATL (Atlanta)","Pasadena","Delta","TX5418","$351.99","5.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5419","$189.17","4.9h"
"JFK (New York)","Austin","Southwest","TX5420","$472.93","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX5421","$167.79","2.4h"
"ORD (Chicago)","Dallas","United","TX5422","$493.77","2.0h"
"ATL (Atlanta)","San Antonio","Delta","TX5423","$545.80","4.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5424","$628.98","2.9h"
"JFK (New York)","El Paso","Southwest","TX5425","$151.40","3.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5426","$413.01","4.4h"
"ORD (Chicago)","Corpus Christi","United","TX5427","$566.02","2.0h"
"ATL (Atlanta)","Plano","Delta","TX5428","$216.58","5.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX5429","$286.32","2.9h"
"JFK (New York)","Lubbock","Southwest","TX5430","$407.00","4.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX5431","$616.60","5.0h"
"ORD (Chicago)","Irving","United","TX5432","$475.94","2.3h"
"ATL (Atlanta)","Amarillo","Delta","TX5433","$226.76","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5434","$388.98","4.5h"
"JFK (New York)","Brownsville","Southwest","TX5435","$415.12","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5436","$522.39","4.8h"
"ORD (Chicago)","Frisco","United","TX5437","$389.26","4.0h"
"ATL (Atlanta)","Pasadena","Delta","TX5438","$226.25","3.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5439","$600.80","4.6h"
"JFK (New York)","Austin","Southwest","TX5440","$537.21","2.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX5441","$465.38","2.3h"
"ORD (Chicago)","Dallas","United","TX5442","$543.62","2.9h"
"ATL (Atlanta)","San Antonio","Delta","TX5443","$307.08","3.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5444","$473.64","2.6h"
"JFK (New York)","El Paso","Southwest","TX5445","$544.74","4.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5446","$449.46","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX5447","$229.98","2.8h"
"ATL (Atlanta)","Plano","Delta","TX5448","$297.59","4.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5449","$558.98","2.0h"
"JFK (New York)","Lubbock","Southwest","TX5450","$226.51","4.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX5451","$220.76","4.5h"
"ORD (Chicago)","Irving","United","TX5452","$267.65","4.8h"
"ATL (Atlanta)","Amarillo","Delta","TX5453","$522.23","3.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5454","$518.74","2.9h"
"JFK (New York)","Brownsville","Southwest","TX5455","$578.01","2.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5456","$275.88","3.2h"
"ORD (Chicago)","Frisco","United","TX5457","$167.11","2.6h"
"ATL (Atlanta)","Pasadena","Delta","TX5458","$512.90","2.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5459","$602.52","4.2h"
"JFK (New York)","Austin","Southwest","TX5460","$510.97","2.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX5461","$377.80","3.2h"
"ORD (Chicago)","Dallas","United","TX5462","$187.55","4.1h"
"ATL (Atlanta)","San Antonio","Delta","TX5463","$310.62","4.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5464","$317.03","2.9h"
"JFK (New York)","El Paso","Southwest","TX5465","$252.48","4.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5466","$547.47","2.9h"
"ORD (Chicago)","Corpus Christi","United","TX5467","$355.85","3.1h"
"ATL (Atlanta)","Plano","Delta","TX5468","$165.37","4.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5469","$530.69","2.3h"
"JFK (New York)","Lubbock","Southwest","TX5470","$553.11","2.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX5471","$506.06","2.7h"
"ORD (Chicago)","Irving","United","TX5472","$451.93","2.7h"
"ATL (Atlanta)","Amarillo","Delta","TX5473","$639.86","3.0h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5474","$221.52","2.8h"
"JFK (New York)","Brownsville","Southwest","TX5475","$430.36","3.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5476","$642.55","2.9h"
"ORD (Chicago)","Frisco","United","TX5477","$374.42","2.3h"
"ATL (Atlanta)","Pasadena","Delta","TX5478","$441.83","4.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5479","$465.32","4.7h"
"JFK (New York)","Austin","Southwest","TX5480","$272.78","4.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX5481","$325.85","4.1h"
"ORD (Chicago)","Dallas","United","TX5482","$217.18","3.2h"
"ATL (Atlanta)","San Antonio","Delta","TX5483","$346.52","5.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5484","$557.52","4.2h"
"JFK (New York)","El Paso","Southwest","TX5485","$521.00","3.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5486","$548.04","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX5487","$262.27","5.0h"
"ATL (Atlanta)","Plano","Delta","TX5488","$256.94","4.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX5489","$629.47","4.0h"
"JFK (New York)","Lubbock","Southwest","TX5490","$412.16","3.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX5491","$226.73","2.4h"
"ORD (Chicago)","Irving","United","TX5492","$638.47","2.5h"
"ATL (Atlanta)","Amarillo","Delta","TX5493","$356.49","2.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5494","$618.85","3.1h"
"JFK (New York)","Brownsville","Southwest","TX5495","$157.86","3.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5496","$621.21","2.9h"
"ORD (Chicago)","Frisco","United","TX5497","$158.83","5.0h"
"ATL (Atlanta)","Pasadena","Delta","TX5498","$226.48","4.9h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5499","$218.50","2.4h"
"JFK (New York)","Austin","Southwest","TX5500","$212.35","2.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX5501","$473.25","3.5h"
"ORD (Chicago)","Dallas","United","TX5502","$471.37","5.0h"
"ATL (Atlanta)","San Antonio","Delta","TX5503","$639.36","2.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5504","$239.73","3.8h"
"JFK (New York)","El Paso","Southwest","TX5505","$572.60","4.3h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5506","$232.49","3.1h"
"ORD (Chicago)","Corpus Christi","United","TX5507","$300.26","4.4h"
"ATL (Atlanta)","Plano","Delta","TX5508","$447.29","4.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5509","$514.47","4.4h"
"JFK (New York)","Lubbock","Southwest","TX5510","$215.38","2.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX5511","$581.81","5.0h"
"ORD (Chicago)","Irving","United","TX5512","$641.90","2.3h"
"ATL (Atlanta)","Amarillo","Delta","TX5513","$573.60","3.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5514","$405.95","4.1h"
"JFK (New York)","Brownsville","Southwest","TX5515","$423.58","2.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5516","$210.01","2.9h"
"ORD (Chicago)","Frisco","United","TX5517","$391.16","4.8h"
"ATL (Atlanta)","Pasadena","Delta","TX5518","$380.63","2.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5519","$411.89","4.2h"
"JFK (New York)","Austin","Southwest","TX5520","$205.51","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX5521","$222.53","4.3h"
"ORD (Chicago)","Dallas","United","TX5522","$610.22","3.3h"
"ATL (Atlanta)","San Antonio","Delta","TX5523","$464.43","2.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5524","$276.63","3.6h"
"JFK (New York)","El Paso","Southwest","TX5525","$250.61","3.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5526","$210.99","3.6h"
"ORD (Chicago)","Corpus Christi","United","TX5527","$501.88","4.3h"
"ATL (Atlanta)","Plano","Delta","TX5528","$536.92","2.9h"
"SFO (San Francisco)","Laredo","JetBlue","TX5529","$533.12","3.7h"
"JFK (New York)","Lubbock","Southwest","TX5530","$217.01","2.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX5531","$646.17","4.1h"
"ORD (Chicago)","Irving","United","TX5532","$214.61","3.0h"
"ATL (Atlanta)","Amarillo","Delta","TX5533","$513.64","4.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5534","$618.52","3.3h"
"JFK (New York)","Brownsville","Southwest","TX5535","$619.00","4.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5536","$258.49","4.5h"
"ORD (Chicago)","Frisco","United","TX5537","$473.25","4.6h"
"ATL (Atlanta)","Pasadena","Delta","TX5538","$378.94","3.1h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5539","$627.15","2.8h"
"JFK (New York)","Austin","Southwest","TX5540","$614.03","2.5h"
"LAX (Los Angeles)","Houston","American Airlines","TX5541","$593.33","3.1h"
"ORD (Chicago)","Dallas","United","TX5542","$442.21","2.4h"
"ATL (Atlanta)","San Antonio","Delta","TX5543","$383.38","2.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5544","$319.74","5.0h"
"JFK (New York)","El Paso","Southwest","TX5545","$612.53","2.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5546","$612.48","2.5h"
"ORD (Chicago)","Corpus Christi","United","TX5547","$460.35","4.7h"
"ATL (Atlanta)","Plano","Delta","TX5548","$575.15","3.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5549","$234.74","2.4h"
"JFK (New York)","Lubbock","Southwest","TX5550","$531.56","2.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX5551","$576.91","3.6h"
"ORD (Chicago)","Irving","United","TX5552","$392.92","4.7h"
"ATL (Atlanta)","Amarillo","Delta","TX5553","$155.52","4.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5554","$170.49","4.4h"
"JFK (New York)","Brownsville","Southwest","TX5555","$433.97","3.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5556","$225.45","4.9h"
"ORD (Chicago)","Frisco","United","TX5557","$349.17","4.3h"
"ATL (Atlanta)","Pasadena","Delta","TX5558","$618.07","3.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5559","$520.59","4.3h"
"JFK (New York)","Austin","Southwest","TX5560","$612.52","3.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX5561","$418.87","3.3h"
"ORD (Chicago)","Dallas","United","TX5562","$641.06","2.6h"
"ATL (Atlanta)","San Antonio","Delta","TX5563","$605.35","2.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5564","$427.52","4.9h"
"JFK (New York)","El Paso","Southwest","TX5565","$368.35","2.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5566","$550.41","3.0h"
"ORD (Chicago)","Corpus Christi","United","TX5567","$319.54","2.7h"
"ATL (Atlanta)","Plano","Delta","TX5568","$494.88","4.5h"
"SFO (San Francisco)","Laredo","JetBlue","TX5569","$501.16","2.1h"
"JFK (New York)","Lubbock","Southwest","TX5570","$366.55","4.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX5571","$520.57","2.8h"
"ORD (Chicago)","Irving","United","TX5572","$402.48","3.5h"
"ATL (Atlanta)","Amarillo","Delta","TX5573","$240.03","4.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5574","$177.20","4.9h"
"JFK (New York)","Brownsville","Southwest","TX5575","$398.09","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5576","$166.40","2.7h"
"ORD (Chicago)","Frisco","United","TX5577","$213.02","2.5h"
"ATL (Atlanta)","Pasadena","Delta","TX5578","$391.86","3.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5579","$574.22","4.7h"
"JFK (New York)","Austin","Southwest","TX5580","$282.78","4.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX5581","$315.57","2.2h"
"ORD (Chicago)","Dallas","United","TX5582","$359.27","3.8h"
"ATL (Atlanta)","San Antonio","Delta","TX5583","$475.72","3.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5584","$399.06","4.3h"
"JFK (New York)","El Paso","Southwest","TX5585","$153.79","2.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5586","$354.80","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX5587","$633.45","3.8h"
"ATL (Atlanta)","Plano","Delta","TX5588","$603.12","4.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX5589","$354.36","3.0h"
"JFK (New York)","Lubbock","Southwest","TX5590","$612.36","2.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX5591","$205.92","4.0h"
"ORD (Chicago)","Irving","United","TX5592","$392.78","4.6h"
"ATL (Atlanta)","Amarillo","Delta","TX5593","$493.09","3.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5594","$355.50","4.0h"
"JFK (New York)","Brownsville","Southwest","TX5595","$530.10","2.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5596","$626.41","2.5h"
"ORD (Chicago)","Frisco","United","TX5597","$239.18","3.9h"
"ATL (Atlanta)","Pasadena","Delta","TX5598","$439.76","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5599","$527.22","2.2h"
"JFK (New York)","Austin","Southwest","TX5600","$452.07","3.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX5601","$433.22","4.7h"
"ORD (Chicago)","Dallas","United","TX5602","$433.50","2.4h"
"ATL (Atlanta)","San Antonio","Delta","TX5603","$631.31","4.4h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5604","$552.81","4.7h"
"JFK (New York)","El Paso","Southwest","TX5605","$395.12","3.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5606","$405.31","4.7h"
"ORD (Chicago)","Corpus Christi","United","TX5607","$359.14","3.0h"
"ATL (Atlanta)","Plano","Delta","TX5608","$573.28","2.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX5609","$580.19","2.3h"
"JFK (New York)","Lubbock","Southwest","TX5610","$568.37","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX5611","$292.31","2.2h"
"ORD (Chicago)","Irving","United","TX5612","$341.46","4.6h"
"ATL (Atlanta)","Amarillo","Delta","TX5613","$642.13","3.5h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5614","$592.20","3.8h"
"JFK (New York)","Brownsville","Southwest","TX5615","$484.91","3.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5616","$454.52","3.9h"
"ORD (Chicago)","Frisco","United","TX5617","$626.64","4.5h"
"ATL (Atlanta)","Pasadena","Delta","TX5618","$579.30","4.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5619","$225.11","4.1h"
"JFK (New York)","Austin","Southwest","TX5620","$252.54","3.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX5621","$234.22","4.3h"
"ORD (Chicago)","Dallas","United","TX5622","$612.69","2.9h"
"ATL (Atlanta)","San Antonio","Delta","TX5623","$423.81","3.9h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5624","$285.55","4.7h"
"JFK (New York)","El Paso","Southwest","TX5625","$307.93","3.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5626","$245.31","3.1h"
"ORD (Chicago)","Corpus Christi","United","TX5627","$339.82","2.3h"
"ATL (Atlanta)","Plano","Delta","TX5628","$206.37","3.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX5629","$533.46","2.0h"
"JFK (New York)","Lubbock","Southwest","TX5630","$324.56","4.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX5631","$181.86","3.5h"
"ORD (Chicago)","Irving","United","TX5632","$514.14","3.7h"
"ATL (Atlanta)","Amarillo","Delta","TX5633","$182.84","3.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5634","$627.42","4.8h"
"JFK (New York)","Brownsville","Southwest","TX5635","$170.74","3.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5636","$297.57","4.0h"
"ORD (Chicago)","Frisco","United","TX5637","$323.01","2.4h"
"ATL (Atlanta)","Pasadena","Delta","TX5638","$163.77","4.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5639","$564.71","2.2h"
"JFK (New York)","Austin","Southwest","TX5640","$571.61","2.4h"
"LAX (Los Angeles)","Houston","American Airlines","TX5641","$367.33","3.5h"
"ORD (Chicago)","Dallas","United","TX5642","$256.69","4.5h"
"ATL (Atlanta)","San Antonio","Delta","TX5643","$383.53","3.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5644","$470.37","2.3h"
"JFK (New York)","El Paso","Southwest","TX5645","$183.79","4.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5646","$284.51","2.3h"
"ORD (Chicago)","Corpus Christi","United","TX5647","$577.30","3.7h"
"ATL (Atlanta)","Plano","Delta","TX5648","$559.54","4.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX5649","$454.30","3.6h"
"JFK (New York)","Lubbock","Southwest","TX5650","$572.00","2.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX5651","$612.80","3.1h"
"ORD (Chicago)","Irving","United","TX5652","$587.26","2.7h"
"ATL (Atlanta)","Amarillo","Delta","TX5653","$184.53","3.5h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5654","$346.20","2.1h"
"JFK (New York)","Brownsville","Southwest","TX5655","$619.38","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5656","$626.77","3.1h"
"ORD (Chicago)","Frisco","United","TX5657","$407.14","2.0h"
"ATL (Atlanta)","Pasadena","Delta","TX5658","$400.94","4.1h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5659","$345.72","2.8h"
"JFK (New York)","Austin","Southwest","TX5660","$511.08","4.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX5661","$200.07","3.5h"
"ORD (Chicago)","Dallas","United","TX5662","$437.27","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX5663","$241.61","4.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5664","$614.87","3.3h"
"JFK (New York)","El Paso","Southwest","TX5665","$215.59","2.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5666","$189.33","2.2h"
"ORD (Chicago)","Corpus Christi","United","TX5667","$399.02","3.3h"
"ATL (Atlanta)","Plano","Delta","TX5668","$421.05","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX5669","$580.90","4.0h"
"JFK (New York)","Lubbock","Southwest","TX5670","$424.83","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX5671","$609.34","3.9h"
"ORD (Chicago)","Irving","United","TX5672","$572.40","3.0h"
"ATL (Atlanta)","Amarillo","Delta","TX5673","$275.06","4.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5674","$244.50","2.8h"
"JFK (New York)","Brownsville","Southwest","TX5675","$164.86","3.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5676","$375.15","4.4h"
"ORD (Chicago)","Frisco","United","TX5677","$569.89","2.3h"
"ATL (Atlanta)","Pasadena","Delta","TX5678","$551.84","4.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5679","$297.85","3.6h"
"JFK (New York)","Austin","Southwest","TX5680","$276.26","2.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX5681","$459.64","4.0h"
"ORD (Chicago)","Dallas","United","TX5682","$389.96","2.2h"
"ATL (Atlanta)","San Antonio","Delta","TX5683","$462.10","3.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5684","$551.56","3.5h"
"JFK (New York)","El Paso","Southwest","TX5685","$367.47","4.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5686","$494.79","4.3h"
"ORD (Chicago)","Corpus Christi","United","TX5687","$614.95","3.8h"
"ATL (Atlanta)","Plano","Delta","TX5688","$453.61","3.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX5689","$565.58","2.0h"
"JFK (New York)","Lubbock","Southwest","TX5690","$212.93","2.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX5691","$219.06","2.7h"
"ORD (Chicago)","Irving","United","TX5692","$192.56","2.2h"
"ATL (Atlanta)","Amarillo","Delta","TX5693","$261.70","2.5h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5694","$399.20","2.6h"
"JFK (New York)","Brownsville","Southwest","TX5695","$152.51","2.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5696","$281.15","2.1h"
"ORD (Chicago)","Frisco","United","TX5697","$446.84","4.1h"
"ATL (Atlanta)","Pasadena","Delta","TX5698","$336.10","3.7h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5699","$237.92","2.9h"
"JFK (New York)","Austin","Southwest","TX5700","$494.35","3.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX5701","$160.51","2.8h"
"ORD (Chicago)","Dallas","United","TX5702","$613.73","2.3h"
"ATL (Atlanta)","San Antonio","Delta","TX5703","$559.76","4.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5704","$423.03","2.9h"
"JFK (New York)","El Paso","Southwest","TX5705","$618.61","4.3h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5706","$539.22","3.1h"
"ORD (Chicago)","Corpus Christi","United","TX5707","$471.05","4.8h"
"ATL (Atlanta)","Plano","Delta","TX5708","$345.35","3.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX5709","$262.84","3.5h"
"JFK (New York)","Lubbock","Southwest","TX5710","$492.30","3.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX5711","$266.72","3.3h"
"ORD (Chicago)","Irving","United","TX5712","$282.07","4.6h"
"ATL (Atlanta)","Amarillo","Delta","TX5713","$309.96","4.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5714","$400.14","2.6h"
"JFK (New York)","Brownsville","Southwest","TX5715","$442.10","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5716","$468.13","3.7h"
"ORD (Chicago)","Frisco","United","TX5717","$641.22","2.9h"
"ATL (Atlanta)","Pasadena","Delta","TX5718","$337.98","3.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5719","$163.13","4.0h"
"JFK (New York)","Austin","Southwest","TX5720","$188.91","4.6h"
"LAX (Los Angeles)","Houston","American Airlines","TX5721","$594.84","4.7h"
"ORD (Chicago)","Dallas","United","TX5722","$468.75","4.4h"
"ATL (Atlanta)","San Antonio","Delta","TX5723","$152.84","4.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX5724","$595.64","2.7h"
"JFK (New York)","El Paso","Southwest","TX5725","$533.63","4.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX5726","$151.68","2.2h"
"ORD (Chicago)","Corpus Christi","United","TX5727","$410.78","3.3h"
"ATL (Atlanta)","Plano","Delta","TX5728","$528.43","4.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX5729","$287.35","2.2h"
"JFK (New York)","Lubbock","Southwest","TX5730","$246.15","2.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX5731","$385.65","2.6h"
"ORD (Chicago)","Irving","United","TX5732","$262.36","2.4h"
"ATL (Atlanta)","Amarillo","Delta","TX5733","$222.23","4.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX5734","$622.20","4.7h"
"JFK (New York)","Brownsville","Southwest","TX5735","$366.26","4.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX5736","$352.47","4.8h"
"ORD (Chicago)","Frisco","United","TX5737","$586.84","4.0h"
"ATL (Atlanta)","Pasadena","Delta","TX5738","$356.24","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX5739","$292.42","3.7h"
"JFK (New York)","Austin","Southwest","TX5740","$379.09","3.6h"
