"City","Name","Category","Rate","Amenities"
"Fort Worth","Saddle Lodge Fort Worth #5864","Boutique","$220/night","Pool, WiFi"
"El Paso","River Manor El Paso #5865","Ranch","$378/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #5866","Suites","$162/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #5867","Inn","$343/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #5868","Luxury","$351/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #5869","Budget","$130/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #5870","Boutique","$255/night","Spa, Bar"
"Garland","River Manor Garland #5871","Ranch","$133/night","Parking, Pets"
"Irving","Star Courtyard Irving #5872","Suites","$192/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #5873","Inn","$306/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #5874","Luxury","$470/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #5875","Budget","$316/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #5876","Boutique","$267/night","Pool, WiFi"
"Frisco","River Manor Frisco #5877","Ranch","$274/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #5878","Suites","$380/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #5879","Inn","$382/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #5880","Luxury","$291/night","Pool, WiFi"
"Houston","Cactus Resort Houston #5881","Budget","$78/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #5882","Boutique","$402/night","Spa, Bar"
"San Antonio","River Manor San Antonio #5883","Ranch","$445/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #5884","Suites","$466/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #5885","Inn","$247/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #5886","Luxury","$105/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #5887","Budget","$444/night","Parking, Pets"
"Plano","Saddle Lodge Plano #5888","Boutique","$243/night","Pool, WiFi"
"Laredo","River Manor Laredo #5889","Ranch","$442/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #5890","Suites","$315/night","Spa, Bar"
"Garland","Crest Suites Garland #5891","Inn","$318/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #5892","Luxury","$165/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #5893","Budget","$316/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #5894","Boutique","$354/night","Spa, Bar"
"Brownsville","River Manor Brownsville #5895","Ranch","$431/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #5896","Suites","$259/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #5897","Inn","$95/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #5898","Luxury","$99/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #5899","Budget","$86/night","Parking, Pets"
"Austin","Saddle Lodge Austin #5900","Boutique","$386/night","Pool, WiFi"
"Houston","River Manor Houston #5901","Ranch","$271/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #5902","Suites","$233/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #5903","Inn","$394/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #5904","Luxury","$222/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #5905","Budget","$404/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #5906","Boutique","$119/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #5907","Ranch","$427/night","Parking, Pets"
"Plano","Star Courtyard Plano #5908","Suites","$189/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #5909","Inn","$439/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #5910","Luxury","$422/night","Spa, Bar"
"Garland","Cactus Resort Garland #5911","Budget","$398/night","Parking, Pets"
"Irving","Saddle Lodge Irving #5912","Boutique","$121/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #5913","Ranch","$277/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #5914","Suites","$383/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #5915","Inn","$319/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #5916","Luxury","$187/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #5917","Budget","$120/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #5918","Boutique","$172/night","Spa, Bar"
"Mesquite","River Manor Mesquite #5919","Ranch","$208/night","Parking, Pets"
"Austin","Star Courtyard Austin #5920","Suites","$443/night","Pool, WiFi"
"Houston","Crest Suites Houston #5921","Inn","$256/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #5922","Luxury","$444/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #5923","Budget","$334/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #5924","Boutique","$148/night","Pool, WiFi"
"El Paso","River Manor El Paso #5925","Ranch","$362/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #5926","Suites","$125/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #5927","Inn","$119/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #5928","Luxury","$155/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #5929","Budget","$275/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #5930","Boutique","$411/night","Spa, Bar"
"Garland","River Manor Garland #5931","Ranch","$402/night","Parking, Pets"
"Irving","Star Courtyard Irving #5932","Suites","$250/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #5933","Inn","$300/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #5934","Luxury","$219/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #5935","Budget","$286/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #5936","Boutique","$159/night","Pool, WiFi"
"Frisco","River Manor Frisco #5937","Ranch","$349/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #5938","Suites","$80/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #5939","Inn","$376/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #5940","Luxury","$121/night","Pool, WiFi"
"Houston","Cactus Resort Houston #5941","Budget","$328/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #5942","Boutique","$407/night","Spa, Bar"
"San Antonio","River Manor San Antonio #5943","Ranch","$430/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #5944","Suites","$154/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #5945","Inn","$95/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #5946","Luxury","$421/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #5947","Budget","$271/night","Parking, Pets"
"Plano","Saddle Lodge Plano #5948","Boutique","$285/night","Pool, WiFi"
"Laredo","River Manor Laredo #5949","Ranch","$422/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #5950","Suites","$82/night","Spa, Bar"
"Garland","Crest Suites Garland #5951","Inn","$106/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #5952","Luxury","$408/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #5953","Budget","$355/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #5954","Boutique","$228/night","Spa, Bar"
"Brownsville","River Manor Brownsville #5955","Ranch","$282/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #5956","Suites","$314/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #5957","Inn","$290/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #5958","Luxury","$265/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #5959","Budget","$188/night","Parking, Pets"
"Austin","Saddle Lodge Austin #5960","Boutique","$274/night","Pool, WiFi"
"Houston","River Manor Houston #5961","Ranch","$157/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #5962","Suites","$108/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #5963","Inn","$247/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #5964","Luxury","$365/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #5965","Budget","$124/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #5966","Boutique","$119/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #5967","Ranch","$312/night","Parking, Pets"
"Plano","Star Courtyard Plano #5968","Suites","$108/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #5969","Inn","$87/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #5970","Luxury","$363/night","Spa, Bar"
"Garland","Cactus Resort Garland #5971","Budget","$110/night","Parking, Pets"
"Irving","Saddle Lodge Irving #5972","Boutique","$415/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #5973","Ranch","$328/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #5974","Suites","$418/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #5975","Inn","$222/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #5976","Luxury","$151/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #5977","Budget","$80/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #5978","Boutique","$187/night","Spa, Bar"
"Mesquite","River Manor Mesquite #5979","Ranch","$100/night","Parking, Pets"
"Austin","Star Courtyard Austin #5980","Suites","$139/night","Pool, WiFi"
"Houston","Crest Suites Houston #5981","Inn","$417/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #5982","Luxury","$382/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #5983","Budget","$71/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #5984","Boutique","$369/night","Pool, WiFi"
"El Paso","River Manor El Paso #5985","Ranch","$203/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #5986","Suites","$151/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #5987","Inn","$336/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #5988","Luxury","$200/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #5989","Budget","$231/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #5990","Boutique","$132/night","Spa, Bar"
"Garland","River Manor Garland #5991","Ranch","$212/night","Parking, Pets"
"Irving","Star Courtyard Irving #5992","Suites","$337/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #5993","Inn","$218/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #5994","Luxury","$165/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #5995","Budget","$175/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #5996","Boutique","$411/night","Pool, WiFi"
"Frisco","River Manor Frisco #5997","Ranch","$304/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #5998","Suites","$339/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #5999","Inn","$360/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #6000","Luxury","$387/night","Pool, WiFi"
"Houston","Cactus Resort Houston #6001","Budget","$287/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #6002","Boutique","$73/night","Spa, Bar"
"San Antonio","River Manor San Antonio #6003","Ranch","$93/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #6004","Suites","$79/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #6005","Inn","$305/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #6006","Luxury","$466/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #6007","Budget","$341/night","Parking, Pets"
"Plano","Saddle Lodge Plano #6008","Boutique","$102/night","Pool, WiFi"
"Laredo","River Manor Laredo #6009","Ranch","$296/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #6010","Suites","$326/night","Spa, Bar"
"Garland","Crest Suites Garland #6011","Inn","$415/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #6012","Luxury","$461/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #6013","Budget","$118/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #6014","Boutique","$292/night","Spa, Bar"
"Brownsville","River Manor Brownsville #6015","Ranch","$199/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #6016","Suites","$89/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #6017","Inn","$211/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #6018","Luxury","$88/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #6019","Budget","$467/night","Parking, Pets"
"Austin","Saddle Lodge Austin #6020","Boutique","$88/night","Pool, WiFi"
"Houston","River Manor Houston #6021","Ranch","$366/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #6022","Suites","$256/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #6023","Inn","$110/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #6024","Luxury","$293/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #6025","Budget","$347/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #6026","Boutique","$170/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #6027","Ranch","$99/night","Parking, Pets"
"Plano","Star Courtyard Plano #6028","Suites","$337/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #6029","Inn","$437/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #6030","Luxury","$404/night","Spa, Bar"
"Garland","Cactus Resort Garland #6031","Budget","$403/night","Parking, Pets"
"Irving","Saddle Lodge Irving #6032","Boutique","$286/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #6033","Ranch","$386/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #6034","Suites","$298/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #6035","Inn","$193/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #6036","Luxury","$382/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #6037","Budget","$316/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #6038","Boutique","$116/night","Spa, Bar"
"Mesquite","River Manor Mesquite #6039","Ranch","$279/night","Parking, Pets"
"Austin","Star Courtyard Austin #6040","Suites","$462/night","Pool, WiFi"
"Houston","Crest Suites Houston #6041","Inn","$156/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #6042","Luxury","$224/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #6043","Budget","$406/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #6044","Boutique","$467/night","Pool, WiFi"
"El Paso","River Manor El Paso #6045","Ranch","$415/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #6046","Suites","$102/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #6047","Inn","$212/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #6048","Luxury","$249/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #6049","Budget","$383/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #6050","Boutique","$133/night","Spa, Bar"
"Garland","River Manor Garland #6051","Ranch","$338/night","Parking, Pets"
"Irving","Star Courtyard Irving #6052","Suites","$378/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #6053","Inn","$78/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #6054","Luxury","$448/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #6055","Budget","$413/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #6056","Boutique","$389/night","Pool, WiFi"
"Frisco","River Manor Frisco #6057","Ranch","$160/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #6058","Suites","$128/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #6059","Inn","$249/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #6060","Luxury","$101/night","Pool, WiFi"
"Houston","Cactus Resort Houston #6061","Budget","$201/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #6062","Boutique","$262/night","Spa, Bar"
"San Antonio","River Manor San Antonio #6063","Ranch","$92/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #6064","Suites","$390/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #6065","Inn","$462/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #6066","Luxury","$292/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #6067","Budget","$344/night","Parking, Pets"
"Plano","Saddle Lodge Plano #6068","Boutique","$167/night","Pool, WiFi"
"Laredo","River Manor Laredo #6069","Ranch","$123/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #6070","Suites","$454/night","Spa, Bar"
"Garland","Crest Suites Garland #6071","Inn","$339/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #6072","Luxury","$438/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #6073","Budget","$205/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #6074","Boutique","$177/night","Spa, Bar"
"Brownsville","River Manor Brownsville #6075","Ranch","$362/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #6076","Suites","$312/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #6077","Inn","$89/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #6078","Luxury","$342/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #6079","Budget","$310/night","Parking, Pets"
"Austin","Saddle Lodge Austin #6080","Boutique","$367/night","Pool, WiFi"
"Houston","River Manor Houston #6081","Ranch","$238/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #6082","Suites","$224/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #6083","Inn","$295/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #6084","Luxury","$327/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #6085","Budget","$426/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #6086","Boutique","$312/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #6087","Ranch","$280/night","Parking, Pets"
"Plano","Star Courtyard Plano #6088","Suites","$350/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #6089","Inn","$118/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #6090","Luxury","$352/night","Spa, Bar"
"Garland","Cactus Resort Garland #6091","Budget","$177/night","Parking, Pets"
"Irving","Saddle Lodge Irving #6092","Boutique","$434/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #6093","Ranch","$404/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #6094","Suites","$130/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #6095","Inn","$334/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #6096","Luxury","$352/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #6097","Budget","$392/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #6098","Boutique","$143/night","Spa, Bar"
"Mesquite","River Manor Mesquite #6099","Ranch","$299/night","Parking, Pets"
"Austin","Star Courtyard Austin #6100","Suites","$283/night","Pool, WiFi"
"Houston","Crest Suites Houston #6101","Inn","$401/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #6102","Luxury","$193/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #6103","Budget","$339/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #6104","Boutique","$185/night","Pool, WiFi"
"El Paso","River Manor El Paso #6105","Ranch","$240/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #6106","Suites","$443/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #6107","Inn","$451/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #6108","Luxury","$159/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #6109","Budget","$131/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #6110","Boutique","$411/night","Spa, Bar"
"Garland","River Manor Garland #6111","Ranch","$386/night","Parking, Pets"
"Irving","Star Courtyard Irving #6112","Suites","$461/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #6113","Inn","$227/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #6114","Luxury","$156/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #6115","Budget","$459/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #6116","Boutique","$389/night","Pool, WiFi"
"Frisco","River Manor Frisco #6117","Ranch","$90/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #6118","Suites","$396/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #6119","Inn","$312/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #6120","Luxury","$121/night","Pool, WiFi"
"Houston","Cactus Resort Houston #6121","Budget","$434/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #6122","Boutique","$123/night","Spa, Bar"
"San Antonio","River Manor San Antonio #6123","Ranch","$281/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #6124","Suites","$299/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #6125","Inn","$377/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #6126","Luxury","$386/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #6127","Budget","$153/night","Parking, Pets"
"Plano","Saddle Lodge Plano #6128","Boutique","$408/night","Pool, WiFi"
"Laredo","River Manor Laredo #6129","Ranch","$106/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #6130","Suites","$148/night","Spa, Bar"
"Garland","Crest Suites Garland #6131","Inn","$399/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #6132","Luxury","$247/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #6133","Budget","$435/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #6134","Boutique","$190/night","Spa, Bar"
"Brownsville","River Manor Brownsville #6135","Ranch","$245/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #6136","Suites","$431/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #6137","Inn","$454/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #6138","Luxury","$92/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #6139","Budget","$260/night","Parking, Pets"
"Austin","Saddle Lodge Austin #6140","Boutique","$467/night","Pool, WiFi"
"Houston","River Manor Houston #6141","Ranch","$122/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #6142","Suites","$460/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #6143","Inn","$400/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #6144","Luxury","$463/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #6145","Budget","$275/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #6146","Boutique","$430/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #6147","Ranch","$167/night","Parking, Pets"
"Plano","Star Courtyard Plano #6148","Suites","$187/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #6149","Inn","$231/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #6150","Luxury","$105/night","Spa, Bar"
"Garland","Cactus Resort Garland #6151","Budget","$195/night","Parking, Pets"
"Irving","Saddle Lodge Irving #6152","Boutique","$436/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #6153","Ranch","$188/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #6154","Suites","$281/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #6155","Inn","$124/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #6156","Luxury","$462/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #6157","Budget","$150/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #6158","Boutique","$166/night","Spa, Bar"
"Mesquite","River Manor Mesquite #6159","Ranch","$158/night","Parking, Pets"
"Austin","Star Courtyard Austin #6160","Suites","$226/night","Pool, WiFi"
"Houston","Crest Suites Houston #6161","Inn","$74/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #6162","Luxury","$401/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #6163","Budget","$290/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #6164","Boutique","$89/night","Pool, WiFi"
"El Paso","River Manor El Paso #6165","Ranch","$295/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #6166","Suites","$353/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #6167","Inn","$210/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #6168","Luxury","$275/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #6169","Budget","$126/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #6170","Boutique","$230/night","Spa, Bar"
"Garland","River Manor Garland #6171","Ranch","$105/night","Parking, Pets"
"Irving","Star Courtyard Irving #6172","Suites","$139/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #6173","Inn","$379/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #6174","Luxury","$204/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #6175","Budget","$103/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #6176","Boutique","$245/night","Pool, WiFi"
"Frisco","River Manor Frisco #6177","Ranch","$82/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #6178","Suites","$465/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #6179","Inn","$339/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #6180","Luxury","$270/night","Pool, WiFi"
"Houston","Cactus Resort Houston #6181","Budget","$400/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #6182","Boutique","$403/night","Spa, Bar"
"San Antonio","River Manor San Antonio #6183","Ranch","$246/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #6184","Suites","$400/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #6185","Inn","$297/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #6186","Luxury","$225/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #6187","Budget","$311/night","Parking, Pets"
"Plano","Saddle Lodge Plano #6188","Boutique","$260/night","Pool, WiFi"
"Laredo","River Manor Laredo #6189","Ranch","$128/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #6190","Suites","$195/night","Spa, Bar"
"Garland","Crest Suites Garland #6191","Inn","$347/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #6192","Luxury","$458/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #6193","Budget","$331/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #6194","Boutique","$95/night","Spa, Bar"
"Brownsville","River Manor Brownsville #6195","Ranch","$371/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #6196","Suites","$434/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #6197","Inn","$425/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #6198","Luxury","$271/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #6199","Budget","$271/night","Parking, Pets"
"Austin","Saddle Lodge Austin #6200","Boutique","$328/night","Pool, WiFi"
"Houston","River Manor Houston #6201","Ranch","$319/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #6202","Suites","$463/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #6203","Inn","$218/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #6204","Luxury","$176/night","Pool, WiFi"
